0.000 INFO  /explore_debug_logger: explore_debug_logger: writing /home/abhijit/catkin_ws/src/team2_delivery/explore_debug.log
274.584 INFO  /move_base: Got new plan
275.584 INFO  /move_base: Got new plan
276.585 INFO  /move_base: Got new plan
277.585 INFO  /move_base: Got new plan
278.585 INFO  /move_base: Got new plan
279.584 INFO  /move_base: Got new plan
280.584 INFO  /move_base: Got new plan
281.584 INFO  /move_base: Got new plan
282.585 INFO  /move_base: Got new plan
283.584 INFO  /move_base: Got new plan
284.584 INFO  /move_base: Got new plan
285.585 INFO  /move_base: Got new plan
286.584 INFO  /move_base: Got new plan
287.584 INFO  /move_base: Got new plan
288.584 INFO  /move_base: Got new plan
289.584 INFO  /move_base: Got new plan
290.585 INFO  /move_base: Got new plan
291.584 INFO  /move_base: Got new plan
292.584 INFO  /move_base: Got new plan
293.506 INFO  /move_base: Got new plan
294.584 INFO  /move_base: Got new plan
295.585 INFO  /move_base: Got new plan
296.584 INFO  /move_base: Got new plan
297.584 INFO  /move_base: Got new plan
298.584 INFO  /move_base: Got new plan
299.584 INFO  /move_base: Got new plan
300.584 INFO  /move_base: Got new plan
301.585 INFO  /move_base: Got new plan
302.584 INFO  /move_base: Got new plan
303.584 INFO  /move_base: Got new plan
304.584 INFO  /move_base: Got new plan
305.584 INFO  /move_base: Got new plan
306.584 INFO  /move_base: Got new plan
307.584 INFO  /move_base: Got new plan
308.584 INFO  /move_base: Got new plan
309.584 INFO  /move_base: Got new plan
310.584 INFO  /move_base: Got new plan
311.585 INFO  /move_base: Got new plan
312.584 INFO  /move_base: Got new plan
313.584 INFO  /move_base: Got new plan
314.584 INFO  /move_base: Got new plan
315.584 INFO  /move_base: Got new plan
316.584 INFO  /move_base: Got new plan
317.585 INFO  /move_base: Got new plan
318.584 INFO  /move_base: Got new plan
319.584 INFO  /move_base: Got new plan
320.584 INFO  /move_base: Got new plan
321.585 INFO  /move_base: Got new plan
322.584 INFO  /move_base: Got new plan
323.584 INFO  /move_base: Got new plan
324.584 INFO  /move_base: Got new plan
325.584 INFO  /move_base: Got new plan
326.584 INFO  /move_base: Got new plan
327.585 INFO  /move_base: Got new plan
328.584 INFO  /move_base: Got new plan
329.584 INFO  /move_base: Got new plan
330.585 INFO  /move_base: Got new plan
331.584 INFO  /move_base: Got new plan
332.584 INFO  /move_base: Got new plan
333.584 INFO  /move_base: Got new plan
333.752 WARN  /move_base: DWA planner failed to produce path.
333.834 INFO  /move_base: Got new plan
334.834 INFO  /move_base: Got new plan
335.834 INFO  /move_base: Got new plan
336.834 INFO  /move_base: Got new plan
337.584 INFO  /move_base: Got new plan
338.584 INFO  /move_base: Got new plan
339.584 INFO  /move_base: Got new plan
340.584 INFO  /move_base: Got new plan
341.584 INFO  /move_base: Got new plan
342.584 INFO  /move_base: Got new plan
343.584 INFO  /move_base: Got new plan
344.585 INFO  /move_base: Got new plan
345.585 INFO  /move_base: Got new plan
346.584 INFO  /move_base: Got new plan
347.585 INFO  /move_base: Got new plan
348.585 INFO  /move_base: Got new plan
349.585 INFO  /move_base: Got new plan
350.584 INFO  /move_base: Got new plan
351.584 INFO  /move_base: Got new plan
352.585 INFO  /move_base: Got new plan
353.584 INFO  /move_base: Got new plan
